Unnamed: 0,tractid,tract,county,state,year,GEOID10,NAMELSAD10,tractid_nanda,year_nanda,pop,incpc,ppov,hinc,phs,mrent,mhmval,pown,pmulti,open_urban_space,low_development,medium_development,high_development,unclassified,forested,cultivated,cluster
1378,53033006700,Census Tract 67,King County,WA,2000,53033006700,Census Tract 67,53033006700,2000,0.8088339459798468,1.938750366380348,-0.4178709397219137,-0.0249498314012618,-1.4805050493214054,0.3464795690923203,0.4754106281377467,-0.617854299803981,2.0298310046442,-1.0474250413882995,-0.8664119510680633,0.9288729689514552,1.5336747739243075,0.1759173737966128,-0.7068215950628947,-0.3434316833250827,2
1379,53033006700,Census Tract 67, King County, Washington,2012,53033006700,Census Tract 67,53033006700,2012,1.1705403062599244,1.7490072618774746,-0.4135527655724477,0.0001257987839571,-1.5692067334885162,0.5821205685015102,0.4788561180739032,-1.1926474311722024,2.205822782596333,-1.0498474927749817,-0.931749790012391,0.8848939150583238,1.525417451218929,0.1198242523797112,-0.6601483173196901,-0.3177714760110198,2
1380,53033006700,Census Tract 67, King County, Washington,2019,53033006700,Census Tract 67,53033006700,2019,2.203687300875347,2.12082900889252,-0.8223368640545512,0.7495467388380431,-1.6047116533700676,1.303418563480725,1.380391545324103,-1.5851650904449404,2.1292647269558738,-1.0607666790465602,-0.938668283100561,0.8777332541939445,1.5291751094546784,0.118439874354145,-0.6566338921070806,-0.3147001958795455,2
1381,53033006600,Census Tract 66,King County,WA,2000,53033006600,Census Tract 66,53033006600,2000,-0.99140570950514,2.991671207529471,-0.2642679597238434,-0.3944112231682157,-1.8507348191236972,0.1017669943279824,1.545474744250206,-0.0663832527702954,1.933656763411426,-1.299725302433426,-1.6101305598419329,-0.4269162416766226,1.229281568544233,3.145645408120989,-0.574445726047238,-0.3585451059133001,5
1382,53033006600,Census Tract 66, King County, Washington,2012,53033006600,Census Tract 66,53033006600,2012,-1.204382164871523,1.5089877373186829,0.2178148672869865,-0.2015829047901977,-1.6300274735016758,-0.210589105019849,0.5862614144900031,-1.989455904553656,2.156990994272358,-1.1824332984004975,-1.581413837404613,-0.4915679231287141,1.1993569277495884,2.787189200009935,-0.5978340644950828,-0.3338184001171648,5
1383,53033006600,Census Tract 66, King County, Washington,2019,53033006600,Census Tract 66,53033006600,2019,-0.6078584202227786,1.9162426602095688,0.0630403442867663,0.6330497268160974,-1.7337666248358052,0.6429349113890263,1.1963411573789646,-1.782189596965086,1.827774395169842,-1.1773830044308708,-1.5879449039900706,-0.5088919991083929,1.1974494433791814,2.793665364734596,-0.5941249236067087,-0.3308588454927947,5
1384,53033006500,Census Tract 65,King County,WA,2000,53033006500,Census Tract 65,53033006500,2000,-0.1370062539654399,2.808911666111096,-0.2126216699336973,-0.0956318085228199,-1.7647616273228983,0.112180295381784,2.889072632375052,0.5090685068074278,1.732885590018198,0.4002088610170294,0.3272832450874829,0.6389814897728578,-0.3052260299144114,-0.4921762061190953,-0.2358347410433502,-0.3848654544887386,2
1385,53033006500,Census Tract 65, King County, Washington,2012,53033006500,Census Tract 65,53033006500,2012,-0.575745679060747,3.004781785386629,-0.4874205833098305,0.3930501259184916,-1.523867806136358,-0.0060188666917563,2.2753294199126186,-0.5887620810111054,1.247289545882745,0.4290604296132772,0.3306799912120274,0.5499562079388949,-0.3235618572589689,-0.4657653021850708,-0.1752754493430068,-0.3617644615451446,2
1386,53033006500,Census Tract 65, King County, Washington,2019,53033006500,Census Tract 65,53033006500,2019,-0.2415422163571333,2.0145081097792388,-0.6371289232465316,0.2654292227587587,-1.531135431685919,0.594668798351556,2.279767399380091,-0.7673328706137467,1.3170159783739424,0.4536400621761485,0.3285581826702323,0.5535533122775692,-0.3221301870061996,-0.4686491443735917,-0.1856508232455351,-0.3589994792801847,2
1387,53033023801,Census Tract 238.01,King County,WA,2000,53033023801,Census Tract 238.01,53033023801,2000,-1.2743005125099236,0.6892090073569611,0.1239060017100139,-0.1050966621546025,-1.1795313983053728,0.7005318049215752,0.324419985986909,0.0068019015364639,1.0851586714553632,-0.3620150401800218,0.0483292305722617,0.0403764538923385,-0.1729352528320193,1.8565471484791,-0.7215237714152276,-0.3949410695475502,5
